revision_num,change_id,url,iteration_count,before_commit_id,after_commit_id,at_least_one_updated_java_file,T(created),T(merged),LOC changed,subject,message,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,code_smells_difference_count,is_increased,
7576,If8cf813fae0e04a138f0eccd908373ccf4331ccb,http://review.couchbase.org/#/c/7576,1,8be08139b1c6871051ab73dbefb42ec318250035,8224858d5e464d7466b469aa65bee915fbf2d551,0,25/06/11,05/07/11,48,Added source folder for manuel tests to Eclipse config file,"Added source folder for manuel tests to Eclipse config file

Change-Id: If8cf813fae0e04a138f0eccd908373ccf4331ccb",0,0,0,1,0,1,1,NA,NA,
7587,I89e021d74048c7364ed209838eb5533c8a40ae86,http://review.couchbase.org/#/c/7587,1,6ef33387354d7f218505a15a131d70bc0e882c9a,3cd72128185d1fea1323cc82582ab9e755854f2a,0,27/06/11,27/06/11,1,Adding the repository needed to download netty.,"Adding the repository needed to download netty.

Change-Id: I89e021d74048c7364ed209838eb5533c8a40ae86",0,0,0,1,0,0,1,NA,NA,
7626,I01653385c1d125ad868e9e018db311597b6ce725,http://review.couchbase.org/#/c/7626,6,3cd72128185d1fea1323cc82582ab9e755854f2a,1c03fdfde66d3bf28a85eb6cfffdab25a32ff4e8,1,28/06/11,29/06/11,69,Added constructor to MemcachedClient that takes a ConnectionFactory,"Added constructor to MemcachedClient that takes a ConnectionFactory

Previously users of the vBucket Aware MemcachedClient of smart client
were unable to specify specific values for how connections are
createded. This commit allows uses to pass a ConnectionFactory into
a vBucket Aware constructor in the MemcachedClient object.

Change-Id: I01653385c1d125ad868e9e018db311597b6ce725",0,1,0,0,0,1,1,0,0,
7641,Ie418e1e7ba59a21240b1c59f5b3bc25ce0a21539,http://review.couchbase.org/#/c/7641,3,1c03fdfde66d3bf28a85eb6cfffdab25a32ff4e8,706073481a066129ea999566e31d684bc0bb6305,1,29/06/11,29/06/11,4,Compiler warning pointed out dumb code.,"Compiler warning pointed out dumb code.

Change-Id: Ie418e1e7ba59a21240b1c59f5b3bc25ce0a21539",0,0,0,1,0,0,1,0,0,
7642,I187088c114ec00ee2d561a47ae4381e3646aada8,http://review.couchbase.org/#/c/7642,1,977ea9e25eebd0c4bc62196a91dd64aa59a2e89d,1eff6a1f0b14fb5e630363e7cc1341070e396259,1,29/06/11,29/06/11,22,Fixed some shadowing parameter warnings.,"Fixed some shadowing parameter warnings.

Change-Id: I187088c114ec00ee2d561a47ae4381e3646aada8",0,0,0,1,0,0,1,0,0,
7643,I8247911a9e766cfdee615c2c97e9d75a11ee4f52,http://review.couchbase.org/#/c/7643,1,1eff6a1f0b14fb5e630363e7cc1341070e396259,64f7abdce219c7b01800de3d63b3cd86142ea502,1,29/06/11,29/06/11,5,Compiler pointed out ignored exception. :(,"Compiler pointed out ignored exception. :(

Change-Id: I8247911a9e766cfdee615c2c97e9d75a11ee4f52",0,0,0,1,0,0,1,0,0,
7646,Ic085218bcd6fa53348f70eae13e219a9882b6442,http://review.couchbase.org/#/c/7646,2,5eade023e58c9c1f578cadad5d6eef4f2d64c71e,c94a2ef8b8c5fde32a962ba2eca1dcf42a9c6bcc,0,30/06/11,05/07/11,17,Made SyncGetTest failures less sporadic,"Made SyncGetTest failures less sporadic

Moved the code that sets the items for this test so that it could
use a MemcachedClient that had a regular timeout. This allows us to
avoid a possible failure resulting from using the connection that
has a short timeout. Now only the get (which is surposed to fail)
uses this short timeout connection.

Change-Id: Ic085218bcd6fa53348f70eae13e219a9882b6442",0,0,0,0,0,1,1,NA,NA,
7647,I94c7d61bfb6dd76abf4afccd0796dca99fd4bd0a,http://review.couchbase.org/#/c/7647,1,c94a2ef8b8c5fde32a962ba2eca1dcf42a9c6bcc,91f9be6327331ae1fd54283b4b474d653ec4cd22,1,30/06/11,05/07/11,2,Changed the value size of items used in LongClientTest,"Changed the value size of items used in LongClientTest

The 32k value used previously worked fine when we were only testing
clients against localhost, but in the future we want to be able to
test spymemcached against servers on the network. This high value
along with the large number of multi-gets done in this test causes
failures due to not being able to read and write data fast enough.
As a result timeouts were caused.

The value has been lowered to something more reasonable for now, but
in the future we should devise a test that will be able to test spy's
ability to handle multi-gets with large values over a network.

Change-Id: I94c7d61bfb6dd76abf4afccd0796dca99fd4bd0a",0,0,0,0,0,1,1,0,0,
7649,I8760f888138667f42027222ac569bda9bff50c40,http://review.couchbase.org/#/c/7649,1,248c472f8b6b6b2cd609f62d2a2f4a47262d787b,18d3d4b6d11f59538bd3648a464791397f03ad52,1,30/06/11,05/07/11,2,Made operation timeout longer for QueueOverflowTest,"Made operation timeout longer for QueueOverflowTest

In order to support being able to test spymemcached against servers
residing on the network we need to increase the timeout of this test

Change-Id: I8760f888138667f42027222ac569bda9bff50c40",0,0,0,0,0,1,1,0,0,
7650,If32bc87f381276bee3f9531090ed9c129369ca4e,http://review.couchbase.org/#/c/7650,9,18d3d4b6d11f59538bd3648a464791397f03ad52,0ad3854a69431cfe297719bb43dee9bbe1b0389f,1,30/06/11,18/07/11,132,Added the ability to specify the ip address of the testing server,"Added the ability to specify the ip address of the testing server

We now have the ability to specify the ip address of the server we
want to test against on the command line. If none is specified then
the tests will run against localhost. The command line parameter to
specify the testing server is 'server' and can be used as follows.

server=10.2.1.58

Change-Id: If32bc87f381276bee3f9531090ed9c129369ca4e",0,1,0,0,0,1,1,0,0,
7651,I8d4750053cf52734c703bfe80d8c2d42ca353bb0,http://review.couchbase.org/#/c/7651,3,d7038fddf9d393bddcb6b301d42a7e719fad61fb,fe09d38cea1c05ea570d1d3be9c8736c8370d57d,1,30/06/11,11/07/11,83,Added a command line parameter for specifying server type,"Added a command line parameter for specifying server type

The user naow has the ability to specify the server type that
they are testing against by adding the parameter 'type' to
the command line. The default type is memcached and there are
three valid types, memcached, membase, and couchbase. An example
of how to use the parameter is below.

type=membase

Change-Id: I8d4750053cf52734c703bfe80d8c2d42ca353bb0",0,0,0,0,0,1,1,0,0,
7672,Id9f7154bc40df5e9a6b05a4d52422bd893952d2f,http://review.couchbase.org/#/c/7672,1,c05751b0bfd339b1f7e912d7f24c5b8d6fbf9987,b3f2a55125063f92436391954b4d8525180acd14,1,30/06/11,10/07/11,8,Removed unused variables in testcases.,"Removed unused variables in testcases.

Change-Id: Id9f7154bc40df5e9a6b05a4d52422bd893952d2f",0,0,0,1,0,1,1,0,0,
7801,Ic7d002ec8e77e2fccc31987fcb1cba1ca14715da,http://review.couchbase.org/#/c/7801,4,56c79dbe152df8caa08e4cc160fafeeedf8abdbb,3ffad69619e121ec9cd42c3472e3c0c5c2c1df3d,1,08/07/11,11/07/11,269,Refactored Operations to improve correctness of vbucket aware ops,"Refactored Operations to improve correctness of vbucket aware ops

Previously we had operations that implemented classes that they
should not have been implemented. For example, there were ASCII
operations that implementing the VBucketAware interface. Since
ASCII operations must go through moxi and don't contain vbucket
numbers there is no reason for them to implement this interface.

This commit also contains the addition of SingleKeyOperationImpl
and MultiKeyOperationImpl which subclass OperationImpl and are
superclasses to binary operations that contain one or more keys
correspondingly. This abstraction allows these type of operations
to deal with vBucket awareness and the amount of keys the operation
contains in different ways.

Change-Id: Ic7d002ec8e77e2fccc31987fcb1cba1ca14715da",0,1,1,0,0,1,1,1,1,
7802,I68fd4bb331fecf89655904396e825b0f42d7a17c,http://review.couchbase.org/#/c/7802,4,d068a3102db6884d80950ad90376382a3306eeea,22b07b8e6563d0b8382db3d0af71e4dff0012903,1,08/07/11,11/07/11,2,Made and addOperation function private in MemcachedConnection,"Made and addOperation function private in MemcachedConnection

This function isn't used outside of MemcachedConnection and it is
the only one that doesn't put vbucket information into operations.
It is a helper function of the addOperation(String, Operation) call
so it doesn't need to add vbucket data but calling it from outside
the MemcachedClient scope could cause issues.

Change-Id: I68fd4bb331fecf89655904396e825b0f42d7a17c",0,1,1,0,0,1,1,1,1,
7803,Iee8bea445fe45ef3d822e0f2d0fb9cb8eb20f536,http://review.couchbase.org/#/c/7803,4,b99980224945a9d9687d33c4dbb6f37a27aa3b2d,86c9ac5379b1e68483d0bcea17aa9e48f988131f,1,08/07/11,11/07/11,12,Fixed an bug where multi-gets didn't work with vb aware constructor,"Fixed an bug where multi-gets didn't work with vb aware constructor

This fix adds vbucket information to multiget operations.

Change-Id: Iee8bea445fe45ef3d822e0f2d0fb9cb8eb20f536",0,1,1,0,0,1,1,1,1,
7846,Iaa56af63d4ac1182235bf8727296198d1b687688,http://review.couchbase.org/#/c/7846,1,30dba5849042626aeb57ed09ff92980ea7900f5f,96f460c988f450d5d695da4a19e6b69e191c1337,0,09/07/11,09/07/11,2,Adding a warmup state for nodes.,"Adding a warmup state for nodes.

At some point, the REST interface added warmup as a possible state
for a node alongside healthy and unhealthy.  This will allow the
config to understand that state.

Change-Id: Iaa56af63d4ac1182235bf8727296198d1b687688",0,0,0,0,0,1,1,NA,NA,
7877,I4ca0da4f9638f7fe3a69bbe55dfb3edf30ae13cc,http://review.couchbase.org/#/c/7877,7,d32872903e82465ff15c0889e9f08158e16ba7f4,a7be482cdc446d01b72b2e99ee300f198f0bcc8a,1,11/07/11,11/07/11,162,Issue 96: ClassPathException fix,"Issue 96: ClassPathException fix

The issue here was that we were combinding multiple types of
get operations in the same class, but each operation would
have a different Claaback type. When we would go to optimize
get operations it would optimize get, getl, gat, and gets
operations and since they have different callback types we
would throw an exception.

Each operation now has its own class.

Change-Id: I4ca0da4f9638f7fe3a69bbe55dfb3edf30ae13cc",0,1,0,0,0,1,1,0,0,
7890,I4e884755321e68da099be6a9a1a1d22305931e26,http://review.couchbase.org/#/c/7890,1,3370e51992f98a833926661eb5bb870a8a56f7a2,a51589fd2943a84923dba97f8c2502d37ef43744,1,11/07/11,14/07/11,32,TapOperation's shouldn't be KeyedOperations.,"TapOperation's shouldn't be KeyedOperations.

Change-Id: I4e884755321e68da099be6a9a1a1d22305931e26",0,0,1,1,0,1,1,0,0,
7898,I8d761b5cd1e0d5a44c1db5cbd62c74167ff51a64,http://review.couchbase.org/#/c/7898,4,a51589fd2943a84923dba97f8c2502d37ef43744,d1f9e289188182c705ad7a2dc7eb2cf91509635b,1,12/07/11,19/07/11,128,WIP: Added ability to do tap dump,"WIP: Added ability to do tap dump

Waiting on server fix from Chiyoung.

Change-Id: I8d761b5cd1e0d5a44c1db5cbd62c74167ff51a64",0,1,1,0,0,1,1,0,0,
7936,Ia5d1d943a59d91ec59419643e9c0af10ae5166ba,http://review.couchbase.org/#/c/7936,3,4ffa38f2a68c2a255a086cc88ddf73604f161764,bb69c63144f5831c2bc9b361ea5b45e83b2278f6,1,13/07/11,14/07/11,52,Made TapTest only run against Membase.,"Made TapTest only run against Membase.

I'm aware that tap works for memcached, but since most people
are still on a tapless version I don't want to run the tests
against memcached yet.

Change-Id: Ia5d1d943a59d91ec59419643e9c0af10ae5166ba",0,0,0,0,0,1,1,0,0,
7969,I7209adf74c871a9ad6d7cf3e46a9c2c377b588ec,http://review.couchbase.org/#/c/7969,2,e80d5d246f125ba4e31ed38df86c740c7683f2be,f91ab24c9877a24d17d22fa681a1666559f2e53b,1,13/07/11,13/07/11,940,Added MembaseClient Object,"Added MembaseClient Object

The MembaseClient object should be used when making connections
to Membase clusters. This commit also includes a new
MembaseConnectionFactory and adds adds the coresponding builder
code to ConnectionFactoryBuilder. Test support is also added
for connections specific to Membase clusters.

Change-Id: I7209adf74c871a9ad6d7cf3e46a9c2c377b588ec",1,0,0,0,1,0,1,-1,0,
8004,Iae2bb6381a8a7dd8732cd878a5d9016dc512a627,http://review.couchbase.org/#/c/8004,1,d59c471972addd8bff5b406fd505a1935b2b6136,f828f7b454cbfd4a8f9cd47ad1d25a01637e35dd,0,14/07/11,14/07/11,4,Excluded Non-memcached tests when testing memcached,"Excluded Non-memcached tests when testing memcached

Change-Id: Iae2bb6381a8a7dd8732cd878a5d9016dc512a627",0,0,0,1,0,1,1,NA,NA,
8006,I6fb7d41cc612ef1620ed678f7139ca002dfa2625,http://review.couchbase.org/#/c/8006,1,efc9691066d589faa72759018139226112ef63e6,14465397b3fccb64eda6de11ea003615b09682f1,0,14/07/11,15/07/11,7,Made EINTERNAL and ERR2BIG errors throw an exception,"Made EINTERNAL and ERR2BIG errors throw an exception

This fix will revert a change that broke user code. These errors
will now cause the connection to Membase to be reset.

Change-Id: I6fb7d41cc612ef1620ed678f7139ca002dfa2625",0,0,0,0,0,1,1,NA,NA,
8074,I17156e804155809cab54569c0906c64afeea99c9,http://review.couchbase.org/#/c/8074,1,2ee00303785fe956d67cd512d79dbe284fd10a5f,6668e0893afe293d679618c79b01e8a4096aa5d2,0,17/07/11,18/07/11,6,Fixed issue with flags not being added properly to tap messages,"Fixed issue with flags not being added properly to tap messages

Change-Id: I17156e804155809cab54569c0906c64afeea99c9",0,0,0,1,0,1,1,NA,NA,
8114,I0c7c84c2ae5c9cc68d4e9c6f925f9ac6885fae6b,http://review.couchbase.org/#/c/8114,2,b826e228beabb8884d59e405c0bac05b386cc664,a57e034037a979d66da7f3b8873c76ce1b5fc5fa,1,18/07/11,19/07/11,61,"Tap streams now pause every 10,000 messages","Tap streams now pause every 10,000 messages

In the previous code I was sending acks back to the server
immediately and this kind of behavior could cause a heap overflow
for users who start tap streams but don't process the messages. Now
the ack messages are queued with the responses and only sent back
to the server after all mutations sent before the ack was recieved
are processed.

Change-Id: I0c7c84c2ae5c9cc68d4e9c6f925f9ac6885fae6b",0,0,0,0,0,1,1,1,1,
8115,I51b3b72eb46c781eb3766435f43e57ded683514b,http://review.couchbase.org/#/c/8115,3,a1425898e5b7195417ae21cccccacc41874d9221,8c40552a90cf85cf63b8ced70f7386709c1ac380,1,18/07/11,21/07/11,34,Locator reconfiguration has been implemented,"Locator reconfiguration has been implemented

Change-Id: I51b3b72eb46c781eb3766435f43e57ded683514b",0,0,1,1,0,0,1,0,0,
8121,I4cd6a9924b9faf0361fbd496dc68a95a01bf6597,http://review.couchbase.org/#/c/8121,4,beae98e781fbfc167aabf25482d2e59b70afc2a6,9e099b16279bebff6a79ef8166277921bd7a6542,0,18/07/11,18/07/11,79,Added README.markdown,"Added README.markdown

Change-Id: I4cd6a9924b9faf0361fbd496dc68a95a01bf6597",0,1,0,1,0,1,1,NA,NA,
8125,I655adc5090249180c3e75fbd35036b15252d093f,http://review.couchbase.org/#/c/8125,3,e84fa6071234fc6dc7618e78b49bf9432e9dcabb,0a2cdc2ce51c6d03f3c26681f57d74870bdb1a4e,1,18/07/11,21/07/11,40,Encode with commons codec more correctly.,"Encode with commons codec more correctly.

Apache Commons Codec had introduced a change in 1.4 that had it
inadvertantly adding extra CRLF to encode responses.  We had worked
around this issue when writing the initial HTTP authorization
code, but it turns out commons codec has reverted to the behavior
in 1.3 with the release of 1.5.

This change updates commons codec, adds a test to verify correct
behavior, and addresses potential error handling issues with the
character set.

Change-Id: I655adc5090249180c3e75fbd35036b15252d093f",0,0,1,0,0,1,1,0,0,
8194,I23953356c77e72e0fa3ce0a1745dee7eb8faba3f,http://review.couchbase.org/#/c/8194,1,6fa4a9e5122c4e8e3af109a299f18dd1956c5491,682c34e1b73b342be92fd1cefdb1020cc96092cd,1,21/07/11,21/07/11,2,Also check for RETRY during clone.,"Also check for RETRY during clone.

Change-Id: I23953356c77e72e0fa3ce0a1745dee7eb8faba3f",0,0,0,1,0,1,1,0,0,
8195,Ida002fd1d510d20c432e77e01eefbc530d3b34b1,http://review.couchbase.org/#/c/8195,2,682c34e1b73b342be92fd1cefdb1020cc96092cd,1f8b51ed165c19ee20b4da390c4e27d0eba06fcf,1,21/07/11,21/07/11,77,Ensure nodesMap updates are safe when topology changes.,"Ensure nodesMap updates are safe when topology changes.

This change much more closely (perhaps too defensively)
couples the Config and the list of nodes.  It also ensures
that the Map<String, MemcachedNode> is less prone to
concurrency problems and fixes a concurrency problem which
allowed nodes to be removed when receiving a not-my-vbucket
response.

This indicates we need to make some changes to how the entire
object model and config list are handled, but just to quickly
fix a race found, tie together the config and node list when
locating the right node.

Testing for this is rather manual at the moment.

Change-Id: Ida002fd1d510d20c432e77e01eefbc530d3b34b1",0,0,0,0,0,1,1,0,0,
8196,Ia0a5c54abca51933995dc307bb5318ebf7dddbce,http://review.couchbase.org/#/c/8196,2,d96b66b5463258424ad5c84f890beeeef3176154,0f098b2887c4848781c7ece232cd1ab521693069,1,21/07/11,21/07/11,19,VBucketNodeLocator should not implement getSequence(),"VBucketNodeLocator should not implement getSequence()

Change-Id: Ia0a5c54abca51933995dc307bb5318ebf7dddbce",0,0,0,1,0,1,1,0,0,
8239,I98a562a8da8bff70c6f953d44d0b3863f493e472,http://review.couchbase.org/#/c/8239,2,783f23007a0c19e62f8cb3cc9039047b6dfbbaa9,747f185c881ced21f5bbf70c21c1b477b6911eac,1,22/07/11,26/07/11,947,Added MembaseClient Object,"Added MembaseClient Object

The MembaseClient object should be used when making connections
to Membase clusters. This commit also includes a new
MembaseConnectionFactory and adds adds the coresponding builder
code to ConnectionFactoryBuilder. Test support is also added
for connections specific to Membase clusters.

Change-Id: I98a562a8da8bff70c6f953d44d0b3863f493e472",0,0,1,0,1,1,1,-1,0,
8240,I9d2a168a031b6ed2c3cf3b44af26ec415ba36d75,http://review.couchbase.org/#/c/8240,3,1de1568269f7698ac675a97e21b673cd7f2f603e,b7a0047a256fd66afc040daaf28237874b39e171,1,22/07/11,26/07/11,44,Changed MemcachedConnection varibale from conn to mconn,"Changed MemcachedConnection varibale from conn to mconn

In the future we will have multiple connections do this name
change will distiguish it from those other connections

Change-Id: I9d2a168a031b6ed2c3cf3b44af26ec415ba36d75",0,0,1,0,0,1,1,0,0,
8241,I1b25d5bb3726ecef28354d5ee8173c82879a4f7d,http://review.couchbase.org/#/c/8241,4,67ac804f114d05a1a1766a20222e88011234aff1,7b0755d2ca50f851a08faeec6b9a8ba7e74889e0,1,22/07/11,26/07/11,227,Changed IO thread from MemcachedClient to MemcachedConnection,"Changed IO thread from MemcachedClient to MemcachedConnection

This change will allow us to have multiple IO thread running within
a client. This is paricularly important for being able to have
a CouchbaseClient since we will need a connection to memcached and
a connection to CouchDB.

Change-Id: I1b25d5bb3726ecef28354d5ee8173c82879a4f7d",0,1,1,0,0,1,1,0,0,
8242,I4f33f74c344775e9dfb0804eae8d7a7bbf341322,http://review.couchbase.org/#/c/8242,3,e9dbde883d8cd692ab4646205a49586071ab7e6b,fd2c348e1dec8eea0e22232ff33b8e395e20dc19,1,22/07/11,26/07/11,6,Removed warnings from LoggerFactory,"Removed warnings from LoggerFactory

Change-Id: I4f33f74c344775e9dfb0804eae8d7a7bbf341322",0,0,1,1,0,1,1,0,0,
8243,If3d13aec9145e459498087507877bb15de45ec78,http://review.couchbase.org/#/c/8243,7,8e80519e357d390a46fe88079b7ea9ae255bb789,aeae0543d4b5b047b945e0d948e3327f267ff21c,1,22/07/11,26/07/11,1237,Add HTTP Subsystem,"Add HTTP Subsystem

This http subsystem is based on the reactor model used by the
apache httpcomponents HTTPCore-NIO library

Change-Id: If3d13aec9145e459498087507877bb15de45ec78",0,1,1,0,1,1,1,1,1,
8359,I43b0934d25f6da5e94a6b5a5720d7edccf37152b,http://review.couchbase.org/#/c/8359,2,7b9994c450e59a57ce8df09128048a3d0185b289,435c56e813e5cda1bc2fc7d5262b6a9b584bac7f,0,26/07/11,26/07/11,2,Updated eclipse classpath to include commons-codec 1.5,"Updated eclipse classpath to include commons-codec 1.5

Previously it was commons-codec 1.4 and the upgrade to 1.5 fixed
and issue pertaining to commons-codec 1.4

Change-Id: I43b0934d25f6da5e94a6b5a5720d7edccf37152b",0,0,0,0,0,1,1,NA,NA,
8399,I6dae0f29d0c55c5a7e2caa69904f22ba44e608b8,http://review.couchbase.org/#/c/8399,1,435c56e813e5cda1bc2fc7d5262b6a9b584bac7f,eb62dbb7f4dd367f422be99deaab2e8db8475442,1,27/07/11,27/07/11,19,Added new test configuration args for Couchbase Server.,"Added new test configuration args for Couchbase Server.

Change-Id: I6dae0f29d0c55c5a7e2caa69904f22ba44e608b8",0,0,0,1,0,1,1,0,0,
8401,I09d4f8751ca8f308e986d07954d7e755af6aa2d8,http://review.couchbase.org/#/c/8401,7,eb62dbb7f4dd367f422be99deaab2e8db8475442,77d2a6cd6e384085fecd77a7ed77293827cdc0a6,1,27/07/11,27/07/11,1822,Added Couchbase Views.,"Added Couchbase Views.

Change-Id: I09d4f8751ca8f308e986d07954d7e755af6aa2d8",0,1,0,1,1,1,1,1,1,
8422,Ib0e07e048b2cfb35d5fca18ced933caf37963db1,http://review.couchbase.org/#/c/8422,2,5f1444222453fb93ae8a3bdd44ca38c38935011c,4bf064358c6ce34b0012550f4708d7d54600bb6b,1,27/07/11,27/07/11,17,A few javadoc fixes,"A few javadoc fixes

Buildr complains(warns) about these before creating jars and I
got tired of seeing the warnings.

Change-Id: Ib0e07e048b2cfb35d5fca18ced933caf37963db1",0,0,0,0,0,1,1,0,0,
8461,I2795962b8bf56a81f7a2c9ebacf4c90aaad4ce3c,http://review.couchbase.org/#/c/8461,7,bd90a61c75f3bca6ee156ce28998f60ba6487345,2c529f9332b16fcf0de459cfd00507d00c24a92b,1,27/07/11,28/07/11,219,Added the ability for Spy to handle errors in views,"Added the ability for Spy to handle errors in views

If a node is down or an item is unavailable then Couchbase
will return a view response that contains a mix of errors
and successes. Previously Spy could only handle responses
that contained only successes. This commit adds the ability
to handle a mix of errors and successes returned in the same
view result.

Change-Id: I2795962b8bf56a81f7a2c9ebacf4c90aaad4ce3c",0,1,0,0,0,1,1,0,0,
8478,I6c339c0300d666a32fa958aa273536209f51b8e6,http://review.couchbase.org/#/c/8478,2,56d19018cfd5a7161b217742619e0655ef8bde66,c86c0a4dd5fe3cce61a08969ab671145893243fc,1,28/07/11,28/07/11,191,Made MembaseClient and CouchbaseClient reconfigurable,"Made MembaseClient and CouchbaseClient reconfigurable

Theses two client classes will now handle topology changes
gracefully.

Change-Id: I6c339c0300d666a32fa958aa273536209f51b8e6",0,0,0,0,0,1,1,-1,0,
8480,I33ab5a4ad3e3f9d14486e446aef1e65b58832759,http://review.couchbase.org/#/c/8480,4,b486e4c6cdfbee4b9bc9f090b58f1c88563205f8,a192dbbc2d2c10866ccadc2948d8e28d66972d93,1,28/07/11,28/07/11,138,Moved protocol.couchdb package to protocol.couch,"Moved protocol.couchdb package to protocol.couch

mv src/main/java/src/net/spy/memcached/protocol/couchdb
to
src/main/java/src/net/spy/memcached/protocol/couch

Change-Id: I33ab5a4ad3e3f9d14486e446aef1e65b58832759",0,1,0,0,0,1,1,0,0,
8483,I90aba04cb81909ce2077c71c44643c15ab5c2425,http://review.couchbase.org/#/c/8483,1,d95766d8b9d8e1ad0e847862cfb571bbf2ab5a9b,2122457f1ae3c52b05559ac5a804a7f199ca0409,1,28/07/11,28/07/11,11,Spymemcached Issue 134: Performance fix,"Spymemcached Issue 134: Performance fix

Change-Id: I90aba04cb81909ce2077c71c44643c15ab5c2425",0,0,0,1,0,1,1,-1,0,
8503,I7b6da04d84d0f16ca309b37038971f0a822bc1df,http://review.couchbase.org/#/c/8503,5,2b89fa6ec1f6db51f9b500e76d7ae56c4f56aa9c,abd68d344a6011715ce232111791d692c39be717,1,28/07/11,28/07/11,67,Added the ability to have a properties file with config info,"Added the ability to have a properties file with config info

The only info we currently put into this file is whether or
not we want our views running in production or development
mode.

Change-Id: I7b6da04d84d0f16ca309b37038971f0a822bc1df",0,1,0,0,0,1,1,0,0,
8508,Ib396064fccbc02c6cd49056685310cdb167977e7,http://review.couchbase.org/#/c/8508,2,4e1ecd120055630884449724bf52290aa0f41cd9,b6512508c376c069f0404b4518b6e332ee6647b2,1,28/07/11,28/07/11,10,Changes operationTimeout for http operations to 60 seconds.,"Changes operationTimeout for http operations to 60 seconds.

This is a temporary change for the developer preview release
of Couchbase. The timeouts will be lowered and will not be
hardcoded in the future.

Change-Id: Ib396064fccbc02c6cd49056685310cdb167977e7",1,0,0,0,0,0,1,0,0,
8524,Ie0dd1e4f848b256bb7df077fb2c01f1d2f858991,http://review.couchbase.org/#/c/8524,1,b6512508c376c069f0404b4518b6e332ee6647b2,2dec34107e065bc861dd39a04dc5884af886a28e,0,29/07/11,02/08/11,3,Exclude membase tests when specifying memcached build type.,"Exclude membase tests when specifying memcached build type.

Change-Id: Ie0dd1e4f848b256bb7df077fb2c01f1d2f858991",0,0,0,1,0,1,1,NA,NA,
8559,I0c992186e7b7701929e0dc60341430d8d2255ba7,http://review.couchbase.org/#/c/8559,6,7010f7703fc24695d8ac3ce6bac5975535a4e49c,b1c311af134786e6dee92ac9de439fa16aac95c1,1,01/08/11,16/08/11,390,Made HashAlgorithm to be an interface.,"Made HashAlgorithm to be an interface.

This is preferable over an Enum in order to allow client hash function
customization.

This change introduces HashAlgorithm interface and updates all references
to the former Enum with the default interface implementation.

Change-Id: I0c992186e7b7701929e0dc60341430d8d2255ba7",0,1,1,0,0,0,1,0,0,
8560,Ie323151b67608e454b726050bd80b097cfba724c,http://review.couchbase.org/#/c/8560,10,3a01bc679c091e78d788a8e3b121b1af2512d6ab,4389a7c3f8e84d6ecbb2cf5f8c2ff61ec2524302,1,01/08/11,16/08/11,158,Introduced HashAlgorithm registry in order to support adding of new hash algorithms while initializing from configuration files,"Introduced HashAlgorithm registry in order to support adding of new hash
algorithms while initializing from configuration files

Also:
- TapConnectionProvider now uses configuration as a source for
  HashAlgorithm definition (just like ConnectionFactoryBuilder)

Change-Id: Ie323151b67608e454b726050bd80b097cfba724c",0,1,1,0,0,0,1,1,1,
8561,Ia3ea8d3b6825ed5558ce08f78adf0ae3579966e8,http://review.couchbase.org/#/c/8561,2,b573279514fcf8495b863c24a044ee3d5d7aa172,62577e22c77c6224af986ce0489d8dde6d0d1c29,0,01/08/11,16/08/11,2,Uptick JUnit version in the build-file to match .classpath,"Uptick JUnit version in the build-file to match .classpath

Change-Id: Ia3ea8d3b6825ed5558ce08f78adf0ae3579966e8",0,0,1,1,0,0,1,NA,NA,
8594,Icec6b7c4aceb6ce6319672bb3a033921960488ad,http://review.couchbase.org/#/c/8594,1,23848e098690dce214ec4dbf48c641b347167d20,ad64ebdc966dfbfc855daee5129e5e59b0ff4afe,1,02/08/11,02/08/11,34,Views results will now be null when an error occurs,"Views results will now be null when an error occurs

Previously view results were returned whether there was an error
or not, the result would just contain empty lists. The new behavior
of returning null is more consistent to the way spymemcached handles
things and it is easier for developers to detect when they have made
an error.

Change-Id: Icec6b7c4aceb6ce6319672bb3a033921960488ad",0,0,0,0,0,1,1,0,0,
8595,I809da61f485a96312756ec26715e79f27199511c,http://review.couchbase.org/#/c/8595,5,ad64ebdc966dfbfc855daee5129e5e59b0ff4afe,d02465513441b7768d422fa688743410fea49c90,1,02/08/11,06/08/11,169,"SPY-17: setStale() and setGroup(bool, int) don't produce the correct query","SPY-17: setStale() and setGroup(bool, int) don't produce the correct query

This issue was found by a user and is now fixed. I also added a bunch
of unit tests that test each function in the Query class builds a set
of query parameters correctly.

Change-Id: I809da61f485a96312756ec26715e79f27199511c",0,1,1,0,0,1,1,0,0,
8597,Ica3d3d70f838bd619d8a9d8a5a40fb7dfca8d4e1,http://review.couchbase.org/#/c/8597,3,c41dd610e93a3299c8fd950140bea4337196d45f,b7bef80a5473855cd61be39ceaec9196f30ae20d,1,02/08/11,06/08/11,131,Added syncronous calls to CouchbaseClient for views,"Added syncronous calls to CouchbaseClient for views

Developers now have the option to make calls to Couchbase views
both synchronously and asynchronously.

Change-Id: Ica3d3d70f838bd619d8a9d8a5a40fb7dfca8d4e1",0,0,1,0,0,1,1,0,0,
